muni_code;dengue_pattern
1302900;Episódico/Epidêmico
1303007;Sem transmissão
1303106;Episódico
1303205;Episódico/Epidêmico
1303304;Episódico/Epidêmico
1303403;Episódico/Epidêmico
1303502;Episódico
1303536;Epidêmico
1303569;Episódico/Epidêmico
1303601;Episódico
1303700;Episódico
1303809;Episódico/Epidêmico
1303908;Episódico/Epidêmico
1303957;Episódico
1304005;Sem transmissão
1304062;Epidêmico
1304104;Episódico/Epidêmico
1304203;Epidêmico
1304237;Episódico
1304260;Episódico
1304302;Episódico
1304401;Episódico
1400027;Episódico
1400050;Episódico/Epidêmico
1400100;Epidêmico
1400159;Episódico/Epidêmico
1400175;Episódico/Epidêmico
1400209;Episódico/Epidêmico
1400233;Episódico/Epidêmico
1400282;Episódico/Epidêmico
1400308;Episódico/Epidêmico
1400407;Episódico/Epidêmico
1400456;Episódico/Epidêmico
1400472;Epidêmico
1400506;Episódico/Epidêmico
1400605;Episódico/Epidêmico
1400704;Episódico
1500107;Episódico/Epidêmico
1500131;Episódico
1500206;Episódico/Epidêmico
1500305;Episódico
1500347;Episódico/Epidêmico
1500404;Episódico/Epidêmico
1500503;Episódico
1500602;Epidêmico
1500701;Episódico
1500800;Epidêmico
1500859;Episódico/Epidêmico
1500909;Episódico/Epidêmico
1500958;Episódico/Epidêmico
1501006;Sem transmissão
1501105;Episódico
1501204;Episódico
1501253;Episódico/Epidêmico
1501303;Episódico/Epidêmico
1501402;Epidêmico
1501451;Episódico/Epidêmico
1501501;Episódico/Epidêmico
1501576;Episódico
1501600;Episódico
1501709;Episódico/Epidêmico
1501725;Episódico/Epidêmico
1501758;Episódico/Epidêmico
1501782;Episódico
1501808;Episódico/Epidêmico
1501907;Episódico
1501956;Episódico
1502004;Sem transmissão
1502103;Episódico/Epidêmico
1502152;Episódico/Epidêmico
1502202;Episódico/Epidêmico
1502301;Episódico
1502400;Epidêmico
1502509;Episódico
1502608;Episódico
1502707;Epidêmico
1502756;Episódico
1502764;Episódico/Epidêmico
1502772;Episódico
1502806;Episódico
1502855;Episódico
1502905;Episódico/Epidêmico
1502939;Episódico/Epidêmico
1502954;Episódico
1503002;Episódico
1503044;Episódico/Epidêmico
1503077;Episódico
1503093;Episódico/Epidêmico
1503101;Episódico
1503200;Episódico/Epidêmico
1503309;Episódico/Epidêmico
1503408;Episódico/Epidêmico
1503457;Episódico/Epidêmico
1503507;Episódico/Epidêmico
1503606;Episódico/Epidêmico
1503705;Episódico/Epidêmico
1503754;Episódico
1503804;Episódico/Epidêmico
1503903;Episódico/Epidêmico
1504000;Episódico
1504059;Episódico/Epidêmico
1504109;Episódico/Epidêmico
1504208;Epidêmico
1504307;Episódico/Epidêmico
1504406;Episódico
1504422;Epidêmico
1504455;Episódico/Epidêmico
1504505;Episódico
1504604;Episódico/Epidêmico
1504703;Episódico/Epidêmico
1504752;Episódico/Epidêmico
1504802;Episódico/Epidêmico
1504901;Episódico
1504950;Episódico
1504976;Episódico/Epidêmico
1505007;Episódico
1505031;Episódico/Epidêmico
1505064;Episódico/Epidêmico
1505106;Episódico/Epidêmico
1505205;Episódico
1505304;Episódico/Epidêmico
1505403;Episódico
1505437;Episódico/Epidêmico
1505486;Episódico/Epidêmico
1505494;Episódico
1505502;Episódico/Epidêmico
1505536;Epidêmico
1505551;Episódico/Epidêmico
1505601;Episódico/Epidêmico
1505635;Episódico
1505650;Episódico/Epidêmico
1505700;Episódico
1505809;Episódico/Epidêmico
1505908;Episódico
1506005;Episódico/Epidêmico
1506104;Episódico
1506112;Episódico
1506138;Epidêmico
1506161;Episódico/Epidêmico
1506187;Episódico/Epidêmico
1506195;Episódico/Epidêmico
1506203;Episódico/Epidêmico
1506302;Episódico
1506351;Episódico/Epidêmico
1506401;Sem transmissão
1506500;Episódico/Epidêmico
1506559;Episódico/Epidêmico
1506583;Episódico/Epidêmico
1506609;Episódico/Epidêmico
1506708;Episódico/Epidêmico
1506807;Epidêmico
1506906;Episódico/Epidêmico
1507003;Episódico
1507102;Episódico
1507151;Episódico
1507201;Episódico/Epidêmico
1507300;Episódico/Epidêmico
1507409;Episódico/Epidêmico
1507458;Episódico/Epidêmico
1507466;Episódico
1507474;Episódico/Epidêmico
1507508;Episódico/Epidêmico
1507607;Episódico
1507706;Episódico
1507755;Episódico
1507805;Episódico/Epidêmico
1507904;Episódico/Epidêmico
1507953;Episódico/Epidêmico
1507961;Episódico
1507979;Episódico
1508001;Episódico/Epidêmico
1508035;Episódico/Epidêmico
1508050;Episódico/Epidêmico
1508084;Episódico/Epidêmico
1508100;Episódico/Epidêmico
1508126;Episódico/Epidêmico
1508159;Episódico/Epidêmico
1508209;Episódico/Epidêmico
1508308;Episódico
1508357;Episódico/Epidêmico
1508407;Episódico/Epidêmico
1600055;Episódico
1600105;Episódico
1600154;Episódico
1600204;Episódico
1600212;Sem transmissão
1600238;Episódico
1600253;Sem transmissão
1600279;Episódico/Epidêmico
1600303;Epidêmico
1600402;Episódico/Epidêmico
1600501;Episódico/Epidêmico
1600535;Episódico
1600550;Sem transmissão
1600600;Episódico/Epidêmico
1600709;Episódico
1600808;Episódico
1700251;Episódico
1700301;Episódico/Epidêmico
1700350;Episódico/Epidêmico
1700400;Episódico
1700707;Episódico/Epidêmico
1701002;Episódico/Epidêmico
1701051;Episódico
1701101;Episódico/Epidêmico
1701309;Episódico/Epidêmico
1701903;Episódico/Epidêmico
1702000;Episódico/Epidêmico
1702109;Epidêmico
1702158;Episódico
1702208;Episódico/Epidêmico
1702307;Episódico/Epidêmico
1702406;Episódico/Epidêmico
1702554;Episódico/Epidêmico
1702703;Episódico
1702901;Episódico
1703008;Episódico/Epidêmico
1703057;Episódico
1703073;Episódico
1703107;Episódico/Epidêmico
1703206;Episódico
1703305;Episódico
1703602;Episódico/Epidêmico
1703701;Episódico/Epidêmico
1703800;Episódico/Epidêmico
1703826;Episódico
1703842;Episódico
1703867;Episódico/Epidêmico
1703883;Episódico/Epidêmico
1703891;Episódico
1703909;Episódico
1704105;Episódico/Epidêmico
1704600;Episódico
1705102;Episódico/Epidêmico
1705508;Epidêmico
1705557;Episódico/Epidêmico
1705607;Episódico/Epidêmico
1706001;Episódico/Epidêmico
1706100;Episódico
1706258;Episódico
1706506;Episódico
1707009;Epidêmico
1707108;Episódico/Epidêmico
1707207;Episódico
1707306;Episódico/Epidêmico
1707405;Episódico
1707553;Episódico
1707652;Episódico/Epidêmico
1707702;Episódico/Epidêmico
1708205;Episódico/Epidêmico
1708254;Episódico/Epidêmico
1708304;Episódico
1709005;Episódico/Epidêmico
1709302;Epidêmico
1709500;Epidêmico
1709807;Episódico
1710508;Episódico/Epidêmico
1710706;Episódico/Epidêmico
1710904;Episódico
1711100;Episódico/Epidêmico
1711506;Episódico/Epidêmico
1711803;Episódico
1711902;Episódico/Epidêmico
1711951;Episódico
1712009;Episódico
1712157;Episódico
1712405;Episódico
1712454;Episódico/Epidêmico
1712504;Episódico/Epidêmico
1712702;Episódico
1712801;Episódico
1713205;Epidêmico
1713304;Episódico/Epidêmico
1713601;Episódico/Epidêmico
1713700;Episódico
1713809;Episódico
1713957;Episódico
1714203;Episódico/Epidêmico
1714302;Episódico
1714880;Episódico/Epidêmico
1715002;Episódico/Epidêmico
1715101;Episódico
1715150;Episódico/Epidêmico
1715259;Episódico/Epidêmico
1715507;Episódico
1715705;Episódico
1715754;Episódico/Epidêmico
1716109;Epidêmico
1716208;Episódico
1716307;Episódico
1716505;Episódico/Epidêmico
1716604;Episódico/Epidêmico
1716653;Episódico/Epidêmico
1716703;Episódico
1717008;Episódico
1717206;Episódico/Epidêmico
1717503;Episódico/Epidêmico
1717800;Episódico/Epidêmico
1717909;Episódico/Epidêmico
1718006;Episódico
1718204;Epidêmico
1718303;Episódico
1718402;Episódico/Epidêmico
1718451;Episódico/Epidêmico
1718501;Episódico
1718550;Episódico/Epidêmico
1718659;Episódico
1718709;Episódico/Epidêmico
1718758;Episódico/Epidêmico
1718808;Episódico/Epidêmico
1718840;Episódico
1718865;Episódico/Epidêmico
1718881;Episódico
1718899;Episódico
1718907;Episódico/Epidêmico
1719004;Episódico
1720002;Episódico
1720101;Episódico/Epidêmico
1720150;Episódico
1720200;Episódico
1720259;Episódico
1720309;Episódico
1720499;Episódico/Epidêmico
1720655;Episódico/Epidêmico
1720804;Episódico/Epidêmico
1720853;Episódico/Epidêmico
1720903;Episódico/Epidêmico
1720937;Episódico/Epidêmico
1720978;Episódico/Epidêmico
1721000;Transmissão Persistente
1721109;Episódico/Epidêmico
1721208;Episódico/Epidêmico
1721257;Episódico
1721307;Episódico
1722081;Episódico/Epidêmico
1722107;Episódico/Epidêmico
2100055;Episódico/Epidêmico
2100105;Episódico
2100154;Episódico
2100204;Episódico
2100303;Episódico/Epidêmico
2100402;Episódico
2100436;Episódico
2100477;Episódico/Epidêmico
2100501;Episódico/Epidêmico
2100550;Episódico
2100600;Episódico/Epidêmico
2100709;Episódico
2100808;Episódico/Epidêmico
2100832;Episódico
2100873;Episódico
2100907;Episódico
2100956;Episódico/Epidêmico
2101004;Episódico
2101103;Episódico
2101202;Episódico/Epidêmico
2101251;Episódico/Epidêmico
2101301;Episódico
2101350;Sem transmissão
2101400;Episódico/Epidêmico
2101509;Episódico/Epidêmico
2101608;Epidêmico
2101707;Episódico
2101731;Episódico
2101772;Episódico
2101806;Episódico/Epidêmico
2101905;Episódico
2101939;Episódico
2101970;Episódico
2102002;Episódico
2102036;Episódico
2102077;Episódico
2102101;Episódico
2102150;Episódico
2102200;Episódico
2102309;Episódico
2102325;Episódico
2102358;Episódico
2102374;Episódico
2102408;Sem transmissão
2102507;Episódico
2102556;Episódico/Epidêmico
2102606;Episódico
2102705;Episódico
2102754;Episódico
2102804;Episódico/Epidêmico
2102903;Episódico
2103000;Episódico/Epidêmico
2103109;Sem transmissão
2103125;Episódico
2103158;Episódico
2103174;Episódico
2103208;Episódico/Epidêmico
2103257;Episódico
2103307;Episódico/Epidêmico
2103406;Episódico
2103505;Episódico/Epidêmico
2103554;Episódico
2103604;Episódico
2103703;Episódico/Epidêmico
2103752;Episódico
2103802;Episódico
2103901;Episódico
2104008;Episódico
2104057;Episódico/Epidêmico
2104073;Episódico/Epidêmico
2104081;Episódico
2104099;Episódico/Epidêmico
2104107;Episódico/Epidêmico
2104206;Episódico
2104305;Episódico
2104404;Episódico
2104503;Episódico
2104552;Episódico/Epidêmico
2104602;Episódico
2104628;Episódico
2104651;Episódico
2104677;Episódico
2104701;Episódico
2104800;Episódico/Epidêmico
2104909;Sem transmissão
2105005;Episódico/Epidêmico
2105104;Episódico
2105153;Episódico/Epidêmico
2105203;Episódico/Epidêmico
2105302;Episódico/Epidêmico
2105351;Episódico
2105401;Episódico/Epidêmico
2105427;Episódico/Epidêmico
2105450;Episódico
2105476;Episódico
2105500;Episódico
2105609;Episódico
2105658;Episódico
2105708;Episódico/Epidêmico
2105807;Episódico
2105906;Episódico
2105922;Episódico
2105948;Episódico
2105963;Episódico
2105989;Episódico/Epidêmico
2106003;Episódico
2106102;Episódico
2106201;Sem transmissão
2106300;Episódico
2106326;Episódico
2106359;Sem transmissão
2106375;Episódico
2106409;Episódico
2106508;Episódico
2106607;Episódico/Epidêmico
2106631;Episódico
2106672;Episódico
2106706;Episódico
2106755;Episódico/Epidêmico
2106805;Episódico
2106904;Episódico
2107001;Episódico
2107100;Episódico
2107209;Episódico
2107258;Episódico
2107308;Episódico
2107357;Episódico
2107407;Episódico
2107456;Episódico
2107506;Episódico/Epidêmico
2107605;Episódico
2107704;Episódico/Epidêmico
2107803;Episódico
2107902;Episódico
2108009;Episódico
2108058;Episódico
2108108;Episódico/Epidêmico
2108207;Episódico/Epidêmico
2108256;Episódico
2108306;Episódico
2108405;Episódico
2108454;Episódico
2108504;Episódico
2108603;Episódico/Epidêmico
2108702;Episódico
2108801;Episódico/Epidêmico
2108900;Episódico
2109007;Episódico/Epidêmico
2109056;Episódico
2109106;Episódico/Epidêmico
2109205;Episódico
2109239;Sem transmissão
2109270;Episódico
2109304;Episódico
2109403;Episódico
2109452;Episódico
2109502;Episódico/Epidêmico
2109551;Episódico
2109601;Episódico
2109700;Episódico
2109759;Episódico
2109809;Episódico
2109908;Episódico/Epidêmico
2110005;Episódico/Epidêmico
2110039;Episódico
2110104;Episódico
2110203;Episódico/Epidêmico
2110237;Episódico
2110278;Sem transmissão
2110302;Sem transmissão
2110401;Episódico
2110500;Episódico
2110609;Episódico
2110658;Episódico
2110708;Episódico
2110807;Episódico
2110856;Episódico
2110906;Episódico/Epidêmico
2111003;Episódico
2111029;Episódico
2111052;Episódico/Epidêmico
2111078;Episódico
2111102;Episódico/Epidêmico
2111201;Episódico/Epidêmico
2111250;Episódico
2111300;Epidêmico
2111409;Episódico/Epidêmico
2111508;Episódico/Epidêmico
2111532;Episódico
2111573;Episódico/Epidêmico
2111607;Episódico
2111631;Episódico
2111672;Episódico
2111706;Episódico
2111722;Episódico
2111748;Episódico
2111763;Episódico
2111789;Sem transmissão
2111805;Episódico/Epidêmico
2111904;Episódico
2111953;Episódico
2112001;Episódico/Epidêmico
2112100;Episódico
2112209;Episódico/Epidêmico
2112233;Episódico/Epidêmico
2112274;Episódico
2112308;Episódico
2112407;Episódico
2112456;Episódico
2112506;Episódico
2112605;Episódico
2112704;Episódico/Epidêmico
2112803;Episódico
2112852;Episódico
2112902;Episódico
2113009;Episódico
2114007;Episódico
2200053;Episódico
2200103;Episódico/Epidêmico
2200202;Episódico/Epidêmico
2200251;Episódico/Epidêmico
2200277;Episódico
2200301;Episódico/Epidêmico
2200400;Episódico/Epidêmico
2200459;Episódico/Epidêmico
2200509;Episódico
2200608;Episódico
2200707;Episódico
2200806;Episódico/Epidêmico
2200905;Episódico
2200954;Episódico
2201002;Episódico
2201051;Episódico
2201101;Episódico
2201150;Episódico/Epidêmico
2201176;Episódico
2201200;Episódico/Epidêmico
2201309;Episódico
2201408;Episódico
2201507;Episódico
2201556;Episódico
2201572;Episódico
2201606;Episódico/Epidêmico
2201705;Episódico
2201739;Episódico
2201770;Episódico
2201804;Episódico/Epidêmico
2201903;Episódico/Epidêmico
2201919;Sem transmissão
2201929;Episódico
2201945;Episódico
2201960;Episódico
2201988;Sem transmissão
2202000;Episódico
2202026;Episódico/Epidêmico
2202059;Episódico
2202075;Episódico
2202083;Episódico
2202091;Episódico
2202109;Episódico
2202117;Episódico
2202133;Episódico
2202174;Episódico
2202208;Episódico/Epidêmico
2202251;Sem transmissão
2202307;Episódico/Epidêmico
2202406;Episódico/Epidêmico
2202455;Episódico
2202505;Episódico
2202539;Episódico
2202554;Episódico
2202604;Episódico
2202653;Episódico
2202703;Episódico
2202711;Episódico
2202729;Episódico
2202737;Episódico/Epidêmico
2202752;Episódico
2202778;Episódico
2202802;Episódico
2202851;Episódico
2202901;Episódico/Epidêmico
2203008;Episódico
2203107;Episódico
2203206;Episódico/Epidêmico
2203230;Sem transmissão
2203255;Episódico
2203271;Episódico
2203305;Episódico/Epidêmico
2203354;Episódico
2203404;Episódico
2203420;Episódico
2203453;Episódico/Epidêmico
2203503;Episódico/Epidêmico
2203602;Episódico
2203701;Episódico/Epidêmico
2203750;Episódico
2203800;Episódico
2203859;Sem transmissão
2203909;Episódico/Epidêmico
2204006;Sem transmissão
2204105;Episódico
2204154;Episódico
2204204;Episódico
2204303;Episódico
2204352;Episódico
2204402;Episódico
2204501;Episódico
2204550;Episódico
2204600;Episódico
2204659;Episódico
2204709;Episódico
2204808;Episódico
2204907;Episódico
2205003;Episódico/Epidêmico
2205102;Episódico
2205151;Episódico
2205201;Episódico/Epidêmico
2205250;Episódico
2205276;Episódico
2205300;Episódico
2205359;Episódico
2205409;Episódico
2205458;Episódico
2205508;Episódico/Epidêmico
2205516;Episódico
2205524;Episódico
2205532;Episódico/Epidêmico
2205540;Episódico
2205557;Episódico
2205565;Episódico
2205573;Episódico/Epidêmico
2205581;Episódico
2205599;Episódico
2205607;Episódico
2205706;Episódico/Epidêmico
2205805;Episódico
2205854;Episódico
2205904;Episódico
2205953;Episódico
2206001;Episódico/Epidêmico
2206050;Episódico
2206100;Episódico
2206209;Episódico
2206308;Episódico/Epidêmico
2206357;Episódico/Epidêmico
2206407;Episódico/Epidêmico
2206506;Episódico
2206605;Episódico
2206654;Episódico
2206670;Episódico
2206696;Episódico
2206704;Episódico
2206720;Episódico
2206753;Episódico
2206803;Episódico/Epidêmico
2206902;Episódico/Epidêmico
2206951;Episódico
2207009;Episódico/Epidêmico
2207108;Episódico
2207207;Episódico
2207306;Episódico
2207355;Episódico
2207405;Episódico
2207504;Episódico
2207553;Episódico
2207603;Episódico/Epidêmico
2207702;Epidêmico
2207751;Episódico
2207777;Episódico
2207793;Episódico
2207801;Episódico/Epidêmico
2207850;Episódico
2207900;Episódico/Epidêmico
2207934;Episódico
2207959;Episódico
2208007;Episódico/Epidêmico
2208106;Episódico
2208205;Episódico/Epidêmico
2208304;Episódico/Epidêmico
2208403;Episódico/Epidêmico
2208502;Sem transmissão
2208551;Episódico
2208601;Episódico
2208650;Episódico
2208700;Episódico
2208809;Episódico
2208858;Episódico
2208874;Episódico
2208908;Episódico/Epidêmico
2209005;Episódico
2209104;Episódico
2209153;Episódico
2209203;Episódico
2209302;Episódico
2209351;Episódico
2209377;Episódico
2209401;Episódico
2209450;Episódico
2209500;Episódico
2209559;Episódico
2209609;Episódico
2209658;Episódico
2209708;Sem transmissão
2209757;Episódico
2209807;Episódico
2209856;Episódico
2209872;Episódico
2209906;Episódico
2209955;Episódico
2209971;Episódico
2210003;Episódico/Epidêmico
2210052;Episódico/Epidêmico
2210102;Episódico
2210201;Episódico
2210300;Episódico
2210359;Episódico
2210375;Episódico
2210383;Episódico
2210391;Episódico
2210409;Episódico
2210508;Episódico/Epidêmico
2210607;Episódico/Epidêmico
2210623;Episódico
2210631;Episódico/Epidêmico
2210656;Sem transmissão
2210706;Episódico/Epidêmico
2210805;Episódico/Epidêmico
2210904;Episódico
2210938;Episódico
2210953;Episódico
2210979;Episódico
2211001;Epidêmico
2211100;Episódico
2211209;Episódico/Epidêmico
2211308;Episódico
2211357;Episódico
2211407;Episódico
2211506;Episódico/Epidêmico
2211605;Episódico
2211704;Episódico
2300101;Episódico/Epidêmico
2300150;Episódico
2300200;Episódico/Epidêmico
2300309;Episódico/Epidêmico
2300408;Episódico/Epidêmico
2300507;Episódico/Epidêmico
2300606;Episódico
2300705;Episódico/Epidêmico
2300754;Episódico/Epidêmico
2300804;Episódico/Epidêmico
2300903;Episódico/Epidêmico
2301000;Episódico/Epidêmico
2301109;Epidêmico
2301208;Episódico/Epidêmico
2301257;Episódico/Epidêmico
2301307;Episódico/Epidêmico
2301406;Episódico/Epidêmico
2301505;Episódico/Epidêmico
2301604;Episódico/Epidêmico
2301703;Episódico
2301802;Episódico/Epidêmico
2301851;Episódico/Epidêmico
2301901;Epidêmico
2301950;Episódico
2302008;Episódico/Epidêmico
2302057;Episódico/Epidêmico
2302107;Episódico/Epidêmico
2302206;Episódico/Epidêmico
2302305;Episódico/Epidêmico
2302404;Episódico/Epidêmico
2302503;Epidêmico
2302602;Episódico/Epidêmico
2302701;Episódico/Epidêmico
2302800;Episódico/Epidêmico
2302909;Episódico/Epidêmico
2303006;Episódico/Epidêmico
2303105;Episódico/Epidêmico
2303204;Episódico/Epidêmico
2303303;Episódico/Epidêmico
2303402;Episódico/Epidêmico
2303501;Epidêmico
2303600;Episódico/Epidêmico
2303659;Episódico/Epidêmico
2303709;Epidêmico
2303808;Episódico/Epidêmico
2303907;Episódico
2303931;Episódico/Epidêmico
2303956;Episódico/Epidêmico
2304004;Episódico/Epidêmico
2304103;Episódico/Epidêmico
2304202;Epidêmico
2304236;Episódico/Epidêmico
2304251;Episódico/Epidêmico
2304269;Episódico
2304277;Episódico/Epidêmico
2304285;Episódico/Epidêmico
2304301;Episódico/Epidêmico
2304350;Episódico/Epidêmico
2304400;Transmissão Persistente
2304459;Episódico/Epidêmico
2304509;Episódico/Epidêmico
2304608;Episódico
2304657;Episódico
2304707;Episódico/Epidêmico
2304806;Episódico/Epidêmico
2304905;Episódico/Epidêmico
2304954;Episódico/Epidêmico
2305001;Episódico
2305100;Episódico/Epidêmico
2305209;Episódico/Epidêmico
2305233;Epidêmico
2305266;Episódico/Epidêmico
2305308;Episódico/Epidêmico
2305332;Episódico/Epidêmico
2305357;Epidêmico
2305407;Epidêmico
2305506;Epidêmico
2305605;Episódico/Epidêmico
2305654;Episódico/Epidêmico
2305704;Episódico/Epidêmico
2305803;Episódico/Epidêmico
2305902;Episódico/Epidêmico
2306009;Episódico/Epidêmico
2306108;Episódico/Epidêmico
2306207;Episódico/Epidêmico
2306256;Episódico/Epidêmico
2306306;Episódico/Epidêmico
2306405;Episódico/Epidêmico
2306504;Episódico/Epidêmico
2306553;Episódico/Epidêmico
2306603;Episódico/Epidêmico
2306702;Episódico/Epidêmico
2306801;Episódico/Epidêmico
2306900;Epidêmico
2307007;Epidêmico
2307106;Episódico/Epidêmico
2307205;Episódico/Epidêmico
2307254;Epidêmico
2307304;Epidêmico
2307403;Episódico/Epidêmico
2307502;Episódico/Epidêmico
2307601;Epidêmico
2307635;Episódico/Epidêmico
2307650;Epidêmico
2307700;Epidêmico
2307809;Episódico/Epidêmico
2307908;Episódico
2308005;Episódico/Epidêmico
2308104;Episódico/Epidêmico
2308203;Episódico/Epidêmico
2308302;Episódico/Epidêmico
2308351;Episódico/Epidêmico
2308377;Episódico/Epidêmico
2308401;Episódico/Epidêmico
2308500;Episódico/Epidêmico
2308609;Episódico/Epidêmico
2308708;Episódico/Epidêmico
2308807;Episódico/Epidêmico
2308906;Episódico/Epidêmico
2309003;Episódico/Epidêmico
2309102;Episódico/Epidêmico
2309201;Episódico/Epidêmico
2309300;Episódico/Epidêmico
2309409;Episódico/Epidêmico
2309458;Episódico/Epidêmico
2309508;Episódico/Epidêmico
2309607;Episódico/Epidêmico
2309706;Episódico/Epidêmico
2309805;Episódico/Epidêmico
2309904;Episódico/Epidêmico
2310001;Episódico/Epidêmico
2310100;Episódico/Epidêmico
2310209;Episódico/Epidêmico
2310258;Episódico/Epidêmico
2310308;Episódico/Epidêmico
2310407;Episódico/Epidêmico
2310506;Episódico/Epidêmico
2310605;Episódico/Epidêmico
2310704;Episódico/Epidêmico
2310803;Episódico/Epidêmico
2310852;Episódico/Epidêmico
2310902;Episódico/Epidêmico
2310951;Episódico
2311009;Episódico/Epidêmico
2311108;Episódico/Epidêmico
2311207;Episódico/Epidêmico
2311231;Episódico
2311264;Episódico/Epidêmico
2311306;Epidêmico
2311355;Episódico/Epidêmico
2311405;Epidêmico
2311504;Epidêmico
2311603;Episódico/Epidêmico
2311702;Episódico/Epidêmico
2311801;Epidêmico
2311900;Episódico
2311959;Episódico/Epidêmico
2312007;Episódico/Epidêmico
2312106;Episódico/Epidêmico
2312205;Episódico/Epidêmico
2312304;Episódico/Epidêmico
2312403;Epidêmico
2312502;Episódico/Epidêmico
2312601;Episódico
2312700;Episódico/Epidêmico
2312809;Episódico/Epidêmico
2312908;Epidêmico
2313005;Episódico/Epidêmico
2313104;Episódico/Epidêmico
2313203;Episódico/Epidêmico
2313252;Episódico
2313302;Epidêmico
2313351;Episódico/Epidêmico
2313401;Epidêmico
2313500;Episódico/Epidêmico
2313559;Episódico/Epidêmico
2313609;Episódico/Epidêmico
2313708;Episódico/Epidêmico
2313757;Episódico/Epidêmico
2313807;Episódico/Epidêmico
2313906;Episódico/Epidêmico
2313955;Episódico/Epidêmico
2314003;Episódico/Epidêmico
2314102;Episódico/Epidêmico
2400109;Episódico/Epidêmico
2400208;Epidêmico
2400307;Episódico/Epidêmico
2400406;Episódico/Epidêmico
2400505;Episódico/Epidêmico
2400604;Episódico
2400703;Episódico
2400802;Episódico/Epidêmico
2400901;Episódico
2401008;Episódico/Epidêmico
2401107;Episódico/Epidêmico
2401206;Episódico/Epidêmico
2401305;Episódico
2401404;Episódico/Epidêmico
2401453;Episódico/Epidêmico
2401503;Episódico/Epidêmico
2401602;Episódico/Epidêmico
2401651;Episódico/Epidêmico
2401701;Episódico/Epidêmico
2401800;Episódico/Epidêmico
2401859;Episódico/Epidêmico
2401909;Episódico/Epidêmico
2402006;Epidêmico
2402105;Episódico/Epidêmico
2402204;Episódico/Epidêmico
2402303;Episódico/Epidêmico
2402402;Episódico/Epidêmico
2402501;Episódico
2402600;Epidêmico
2402709;Episódico/Epidêmico
2402808;Episódico/Epidêmico
2402907;Episódico
2403004;Episódico/Epidêmico
2403103;Epidêmico
2403202;Episódico/Epidêmico
2403251;Epidêmico
2403301;Episódico
2403400;Episódico/Epidêmico
2403509;Episódico/Epidêmico
2403608;Episódico/Epidêmico
2403707;Episódico
2403756;Episódico/Epidêmico
